camera,frame,timestamp,obj_id,class,bbox,x_c,y_c,w,h,in_alert_zone,v_width,v_height
CAMERA_HALL_PORTE_ENTREE,48,1.61,10592,person,"[1133, 350, 340, 723]",1303,712,340,723,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,49,1.64,10583,person,"[1514, 6, 405, 1063]",1716,537,405,1063,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,49,1.64,10592,person,"[1170, 357, 344, 715]",1342,715,344,715,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,49,1.64,10599,person,"[1500, 428, 117, 281]",1559,568,117,281,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,49,1.64,10577,person,"[1525, 345, 258, 555]",1654,623,258,555,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,50,1.67,10583,person,"[1584, 35, 335, 1033]",1752,551,335,1033,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,50,1.67,10592,person,"[1206, 361, 346, 710]",1379,716,346,710,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,50,1.67,10599,person,"[1522, 425, 110, 273]",1577,562,110,273,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,50,1.67,10577,person,"[1526, 340, 279, 666]",1665,673,279,666,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,50,1.67,10579,person,"[1110, 444, 66, 293]",1143,591,66,293,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,51,1.71,10583,person,"[1655, 106, 264, 961]",1787,587,264,961,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,51,1.71,10592,person,"[1241, 364, 355, 707]",1419,718,355,707,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,51,1.71,10599,person,"[1526, 425, 112, 303]",1582,576,112,303,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,51,1.71,10577,person,"[1551, 333, 280, 714]",1691,690,280,714,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,51,1.71,10579,person,"[1110, 442, 67, 294]",1143,589,67,294,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,52,1.74,10583,person,"[1713, 365, 206, 702]",1816,716,206,702,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,52,1.74,10592,person,"[1276, 361, 362, 710]",1457,716,362,710,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,52,1.74,10577,person,"[1578, 331, 280, 730]",1718,696,280,730,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,52,1.74,10579,person,"[1108, 441, 69, 296]",1142,589,69,296,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,53,1.77,10583,person,"[1765, 491, 154, 577]",1842,779,154,577,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,53,1.77,10592,person,"[1309, 358, 376, 713]",1497,714,376,713,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,53,1.77,10577,person,"[1604, 329, 277, 740]",1742,699,277,740,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,53,1.77,10579,person,"[1106, 440, 70, 298]",1141,589,70,298,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,54,1.81,10583,person,"[1814, 548, 105, 521]",1866,808,105,521,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,54,1.81,10592,person,"[1346, 361, 382, 709]",1537,716,382,709,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,54,1.81,10577,person,"[1631, 327, 275, 748]",1769,701,275,748,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,54,1.81,10579,person,"[1104, 440, 71, 300]",1140,590,71,300,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,55,1.84,10592,person,"[1382, 359, 391, 711]",1578,715,391,711,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,55,1.84,10577,person,"[1662, 324, 257, 749]",1790,699,257,749,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,55,1.84,10579,person,"[1104, 440, 71, 301]",1139,590,71,301,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,56,1.87,10592,person,"[1438, 345, 408, 726]",1642,708,408,726,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,56,1.87,10577,person,"[1733, 320, 186, 754]",1826,697,186,754,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,56,1.87,10579,person,"[1103, 439, 72, 301]",1139,590,72,301,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,56,1.87,10599,person,"[1500, 427, 133, 261]",1567,558,133,261,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,57,1.91,10592,person,"[1458, 339, 414, 731]",1665,705,414,731,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,57,1.91,10577,person,"[1760, 318, 159, 756]",1839,696,159,756,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,57,1.91,10579,person,"[1103, 439, 72, 301]",1139,590,72,301,False,1920,1080
CAMERA_HALL_PORTE_ENTREE,57,1.91,10599,person,"[1498, 427, 135, 258]",1566,556,135,258,False,1920,1080
